,Postal Code,Borough,Neighborhood,latitude,longitude,Cluster Label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
66,M4R,Central Toronto,"North Toronto West, Lawrence Park",43.6534817,-79.3839347,0,Coffee Shop,Café,Restaurant,Gastropub,Japanese Restaurant,Hotel,Sushi Restaurant,Furniture / Home Store,Tea Room,Theater
67,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6703377,-79.407117,0,Café,Italian Restaurant,Korean Restaurant,Vegetarian / Vegan Restaurant,Restaurant,Bakery,Grocery Store,Coffee Shop,Mexican Restaurant,Bar
68,M6R,West Toronto,"Parkdale, Roncesvalles",43.640292200000005,-79.43729899898156,0,Coffee Shop,Café,Restaurant,Bar,Bakery,Italian Restaurant,Indian Restaurant,Tibetan Restaurant,Pharmacy,Park
69,M1S,Scarborough,Agincourt,43.7853531,-79.2785494,3,Chinese Restaurant,Shopping Mall,Cantonese Restaurant,Restaurant,Hotel,Noodle House,Korean Restaurant,Karaoke Bar,Gas Station,Bank
70,M4S,Central Toronto,Davisville,43.697936,-79.3972908,1,Coffee Shop,Italian Restaurant,Sushi Restaurant,Restaurant,Café,Gym,Park,Gastropub,Pub,Fast Food Restaurant
71,M5S,Downtown Toronto,"University of Toronto, Harbord",43.663461999999996,-79.39775965337452,0,Café,Bakery,Restaurant,Bookstore,Coffee Shop,Italian Restaurant,Park,Beer Bar,Boutique,Vegetarian / Vegan Restaurant
72,M6S,West Toronto,"Runnymede, Swansea",43.6517026,-79.4759978,1,Coffee Shop,Café,Pub,Pizza Place,Sushi Restaurant,Italian Restaurant,Bakery,Falafel Restaurant,Baseball Field,Bank
73,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7964095,-79.2977951,3,Chinese Restaurant,Park,Vietnamese Restaurant,Coffee Shop,Convenience Store,Caribbean Restaurant,Gas Station,Noodle House,Shopping Mall,Athletics & Sports
74,M4T,Central Toronto,"Moore Park, Summerhill East",43.6903876,-79.3832965,1,Coffee Shop,Park,Italian Restaurant,Grocery Store,Gym,Sandwich Place,Thai Restaurant,Café,Gastropub,Bagel Shop
75,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6552136,-79.4022604,0,Café,Bar,Vegetarian / Vegan Restaurant,Coffee Shop,Mexican Restaurant,Taco Place,Dessert Shop,Cocktail Bar,Art Gallery,Bakery
76,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8231743,-79.3017626,3,Chinese Restaurant,Japanese Restaurant,Bakery,Asian Restaurant,Bank,Bubble Tea Shop,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Tea Room,Noodle House
77,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6816776,-79.3905037,1,Coffee Shop,Italian Restaurant,Café,Park,Sushi Restaurant,Sandwich Place,Pub,Bank,French Restaurant,Thai Restaurant
78,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6425637,-79.38708718320467,0,Hotel,Coffee Shop,Café,Gym,Park,Seafood Restaurant,Scenic Lookout,Plaza,Pizza Place,Japanese Restaurant
79,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6007625,-79.505264,1,Park,Pizza Place,Fried Chicken Joint,Supermarket,Liquor Store,Bakery,Café,Italian Restaurant,Restaurant,Dessert Shop
